Bisaya Word,English Translation,Notes/Context
igbetir,eggbeater,n
ignidul,egg noodles,n
ignuranti,"1 ignorant, uneducated",a
ignuy,euphemism for ignuranti,a
igwad,having protruding buttocks,a
igwalis,1 equal in score,a
igwit,"coquette, flirt",a
ihalas,1 of the jungle,a
ihikutebu,executive,n
ihimplu,"1 example, model",n
ihiptu,Egypt,n
ihirsitu,one’s own children,n
ikibali,equivalent,n
ikipahi,luggage,n
ikepu,"equipment, tools",n
ekis,letter X,n
ekit,"close together, usually people",a
iklas,first grader,n
iklisyastiku,ecclesiastical,a
iksaktu,1 correct,a
iksamin,exams in school,n
iksaminadur,examiner,n
iksaminisyun,examination,n
iksampul,example,n
iksibisiyun,1 exhibition,n
iksebit,exhibit,n
iksilinti,"excellent, perfectly done",a
iksema,eczema,n
iksimtid,exempted from some obligation,n
iksirsayis,1 bodily exercise,n
ikskursiyun,excursion,n
ikspidisyun,expedition,n
ikspirimintu,experiment,n
ikspirtu,expert,a
iksplurasiyun,exploration for natural resources,n
iksplusebu,explosive,n
ikspurtadur,exporter,n
ikspusisiyun,exposition,n
iksri,x-ray,n
iktarya,hectare,n
ikunumika,"economy, economics",n
ikunumeya,economical,a
ikwadur,equator,n
ilbu,elbow joint of pipes,n
ilibetur,elevator,n
ilegal,illegal,a
iliganti,elegant in looks,a
iliksiyun,election,n
iliktrik,electric,a
iliktrisidad,"electricity, electric current",n
iliktrisyan,electrician,n
iliktruniku,electronics,n
iliktur,voter,n
iliktural,electoral,n
ilimintu,"element, component",n
ilipanti,1 elephant,n
ilitirit,illiterate,n
eluk,armpit,n
ilikus,"Ilocos region, Northwestern Luzon",n
ilustradu,illustrious persons,n
imahin,religious image,n
imakulada kunsipsiyun,immaculate conception,n
imbahadur,ambassador,n
imbasyun,invasion,n
imbintu,invention,n
imbistigasyun,investigation,n
imbidu,funnel,n
imburnal,culvert,n
imbuyis,invoice,n
imbyirnu,winter,n
emi,letter M,n
imirdyinsi,emergency,n
impantireya,infantry,n
impas,"1 paid off, up",a
impi,1 acronym for MP,n
impiksiyun,infection,n
impiradur,1 emperor,n
impiratris,empress,n
impirdibli,safety pin,n
impirnu,1 hell,n
impiryu,empire,n
impitu,height of one’s anger,n
impleyu,"employment, job",n
impluwinsa,influenza,n
impluwinsiya,influence,n
imprisaryu,impresario,n
imprumtu,impromptu,n
impurmasiyun,information,n
impurtansiya,importance,n
impurtasiyun,importation,n
impurti,value,n
impurtid,imported,n
imsi,emcee,n
imurahiya,hemorrhage from the womb,n
imuralidad,immorality,n
inamil,1 enamel of teeth,n
inanu,"dwarf, midget",n
inbitisyun kard,invitation card,n
indihistiyun,indigestion,n
indikasiyun,reading on a meter,n
indilibli,India ink,n
indipindinsiya,national independence,n
indisper,desperate,a
indiya,India,n
indulhinsiya,indulgence in the Church,n
indur,1 softball,n
industriya,"industry, manufacturing enterprises",n
industriyal,1 industrial,n
inggasti,setting of a gem,n
inggratu,"ingrate, ungrateful",a
inggwintu,ointment,n
ingkahi,fine lace,n
inglatera,England,n
inglis,1 Englishman,n
in-gridiyinti,ingredient,n
inhelir,inhaler,n
inhinyeru,engineer,n
inema,enema,n
ening,baseball inning,n
ineru,January,n
inkyubetur,incubator,n
insayklupidya,encyclopedia,n
insayu,1 rehearsal,n
insigniya,insignia,n
insik,"Chinaman, Chinese",n
inseka,Chinese woman,n
insiktu,insect,n
insinsaryu,"censer, incense holder",n
insinsu,1 incense,n
inspiksiyun,inspection,n
inspiktur,"inspector, official examiner",n
instruksiyun,"instructions, directions",n
instrumintu,1 instrument,n
insumniya,insomnia,n
intabladu,stage,n
intap,afraid of s,a
intinsiyun,"intention, plan",n
intirbintur,poll watcher,n
intiriyur,away from roads,a
intirmisyun,"intermission, break",n
intirn,medical intern,n
intirnal,"internal, esp",a
intirnasyunal,1 international,a
intribista,interview,n
intrega,intrigue,n
inudiru,toilet bowl,n
initil,"1 invalid, disabled",n
ipidimya,epidemic of some disease,n
ipiktebu,"1 effective, having results",a
ipiktu,effect,n
ipiktus,1 personal belongings,n
ipiliptiku,epileptic,a
ipukritu,hypocrite,a
irgu trit,"ergot, k",n
eri,letter R,n
erid,air-raid shelter,n
irehis,1 infidel or s,a
irinsiya,inheritance,n
irkun,1 air-conditioner,n
irkundisyun,air-conditioned,a
irmat,mother,n
irmil,air mail,n
irmitanyu,hermit,n
irpakit,air pocket,n
irpat,father,n
irpun,earphones,n
irpurt,airport,n
iskala,stop-over,n
iskalar,recipient of a scholarship,n
iskalarsyip,scholarship,n
iskalipsi,eclipse,n
iskaletur,escalator,n
iskandalu,"scandal, scandalous, s",a
iskaparati,"display window, showcase",n
iskapaturya,way of escape,n
iskarp,scarf,n
iskats,scotch whisky,n
iskidyul,schedule,n
iskena,1 corner,n
iskrabul,game of scrabble,n
iskreba,scribe,n
iskribanu,clerk of court,n
iskrituryu,escritoire,n
iskru,screw,n
iskulbus,1 school bus,n
iskulsuplayis,school supplies,n
iskultur,sculptor,n
iskupidur,cuspidor,n
iskupeta,1 shotgun,n
iskursiyun,"excursion, outing",n
iskutinyu,counting of votes,n
iskuwala,try square,n
iskuwir,1 square,a
isla,island,n
islaks,slacks worn by women,n
islang,speaking with unclear articulation,a
islayid rul,slide rule,n
isliblis,sleeveless dress or blouse,a
islindir,"slender, slim in figure",a
ismagling,smuggling,n
ismaglir,smuggler,n
ismagul,1 smuggled goods,n
ismiringhuy,paramour,n
isnatsir,"snatcher of bags, etc",n
isnekir,sneakers,n
ispada,1 sword,n
ispagheti,spaghetti,n
ispanis,"Spanish class, language, person",n
ispaniyul,1 Spaniard,n
ispanya,Spain,n
ispanyilis,Spaniards,n
isparing,1 sparring session,n
ispasyu,outer space,n
ispat,flashlight,n
ispatlayit,1 = ispat,n
ispayik,shoe spike,n
isped,spades in playing cards,n
ispehu,"1 mirror, looking glass",n
ispeling,spelling,n
ispiritu,"1 spirit, human soul",n
ispirma,1 paraffin,n
ispisiyal,"1 special, particularly good",a
ispisyalista,"specialist, esp",n
ispeya,"1 spy, secret agent",n
ispringpild,Springfield rifle,n
ispurts kar,sports car,n
ispisu,husband,n
ispiting,"smartly dressed, dressed up",a
israyletas,Israelites,n
istadista,statesman,n
istadiyum,stadium,n
istadu,1 situation,n
istadus unedus,United States,n
istan,stand to hold s,n
istansa,stanza of a poem,n
istanti,1 glass showcase,n
istar dansir,starring dancer,n
istarim n,variety of yautia,a
istartir,starter of an engine,n
istatistika,statistics,n
istatiwa,statue,n
istayil,style of doing s,n
istaylis,adopting the latest fads,a
istibidur,stevedore,n
istekir,sticker,n
istilmit,stalemate in chess,n
istilwul,steel wool,n
istinugrapir,stenographer,n
isteping,1 step in dancing,n
isteril,"sterile, incapable of procreation",a
istits,"the States, U",n
istituskup,stethoscope,n
istrangheru,1 a foreigner,n
istrap,strap,n
istri,"three, esp",n
istribilyu,cross-eyed,a
istribur,starboard of a vessel,n
istriktu,strict in demanding obedience,a
istritsir,stretcher,n
istruberi,strawberry,n
istripa,stanza of a sort,n
istib,"gas, electric stove",n
istudiyanti,student,n
istupidu,"stupid, doing stupid things",a
isturbu,"1 nuisance, bother",n
itay,Father,n
etir,ether,n
itirinaryu,itinerary,n
itlug,1 egg,n
itsay,1 mistress,n
itsuy,1 male lover,n
etu,general name for catfish,n
itum,black,a
it-un,intelligent,a
ewa,wet nurse,n
kabalyireya,"cavalry, horse-mounted soldier",n
kabang,"1 spotted, splotched",a
kab-ang,"hook, crook",n
kabarit,cabaret,n
kabildu,conversation,n
kabin,ship’s cabin,n
kabir,cover,n
kabesa,1 provincial capital,n
kabisada,bridle,n
kabisilya,head of the table,n
kabisera,1 capital town,n
kabli,"cable, wire rope",n
kabligrama,cablegram,n
kabu,1 foreman,n
kabuduk,red light district,n
kabunghan,name of a wind,n
kaburata,1 riding crop,n
kadangkadang,blight affecting coconut trees,n
kadena,chain,n
kading,one who gossips,n
kadeti,cadet,n
kagabkab,flapping sound,n
kag-ang,"thin, emaciated",a
kagas,haggard and emaciated,a
kagaskas,rustling sound,n
kagaw,germs,n
kagawad,municipal councilors,n
kagay,rattle of dishes,n
kaging,stiff,a
kagitkit,"grinding, grating sound",n
kagubkub,"1 crunchy, crisp",a
kaguleyang,noisy confusion,n
kagumkum,1 crisp,a
kaguskus,"dull, rustling sound",n
kagut,"gnashing, grinding sound",n
kagutkut,sound made by s,n
kagwang,1 flying squirrel,n
kahista,typesetter,n
kaheta,"small box, case",n
kahun,1 box,n
kahuy,1 tree,n
kahiyung,variety of rice,n
kakak,1 cackle,n
kakaw,cacao,n
kaki,1 khaki cloth,n
kaktil,cocktail drink,n
kaktus,cactus,n
kakyup,1 yesterday,n
kalabaw,"carabao, water buffalo",n
kalabera,"skeleton, skull",n
kalag,1 soul,n
kalamay,1 sugar,n
kalamidad,calamity,n
kal-ang,1 gap,n
kalaskalas,1 = angalaskálas,n
kalatsutsi,"frangipani, k",n
kalbaryu,1 calvary,n
kalbu,bald-headed,n
kalderu,"metal pot, usually flat-bottomed",n
kalgas,animal flea,n
kalidad,1 quality,n
kalids,1 college,n
kalids swing,"college swing, a k",n
kalindaryu,calendar,n
kaling,small dried anchovies,n
kalipikasiyun,1 qualification,n
kalipsu,"1 calypso song, dance",n
kalesa n,two-wheeled horse drawn carriage,a
kalit,1 sudden,a
kalma,1 calm,a
kalsitin,socks,n
kaluykuy,whooping cough,n
kalyi,street,n
kalyu,corns on the toes,n
kamadutsay,married man’s mistress,n
kamandir,commander,n
kamig,cold to the touch,a
kamira,camera,n
kamisun,whole slip,n
kampamintu,"encampment, temporary camp",n
kampana,1 church bell,n
kampanti,"dressed elaborately, esp",a
kampanya,campaign,n
kampur,camphor oil,n
kamul,"numb, devoid of sensation",a
kanal,1 ditch,n
kandadu,padlock,n
kandaktur,musical conductor,n
kandidatu,1 political candidate,n
kandidit,candidate for office,n
kandilabra,candelabrum,n
kandileru,candlestick or chandelier,n
kanggaru,kangaroo,n
kanggrena,gangrene,n
kansir,cancer,n
kantidad,1 amount of money,n
kantin,water canteen,n
kantu,"corner, edge of s",n
kaninay,"1 always, frequently",a
kanius,loud hissing sound,n
kap,"short for kapitan, captain",n
kapatas,1 foreman,n
kapdrap,cough drops,n
kapi aspirena,brand of aspirin,n
kaping,capping ceremonies for nurses,n
kaping si,coping saw,n
kapir,copper,n
kapital,1 capital letter,n
kapitan,1 boat captain,n
kapling,1 cuff links,n
kapritsu,caprice,n
kapung,woman prostitute,n
kapiti,1 raincoat,n
karati,karate,n
karatula,"signboard, small hanging sign",n
karburadur,carburetor,n
karbiru,calcium carbide,n
kard,1 student’s report card,n
kardinal,cardinal in the church,n
kargu,financial responsibility,n
kari,curry powder,n
karidad,charity,n
karikatira,drawn caricature,n
kareti,1 spool,n
karitela,"1 calesa, k",n
karmiletus,candy,n
karminatebu,"carminative, a k",n
karneru,sheep,n
karpinteru,carpenter,n
karpit,carpet,n
karsada,"street, highway",n
karsil,prison house,n
karsinis,1 trousers,n
karsunsilyu,1 panties,n
karteru,"mail carrier, postman",n
karung,disheveled,a
karisa,1 = káru,n
kasa,1 business firm,n
kasapuygu n,box of matches,a
kaselik,general name for wrasses,n
kaspa,dandruff,n
kastanyas,1 chestnut,n
kastilya,Castile,n
kastilyu,1 castle,n
kastur iwil,Castor oil,n
kastus,celibate,n
kasu,"case, suit",n
kasulya,chasuble,n
katakata,1 for s,a
kataru,cough,n
katidral,cathedral,n
katids indastri,cottage industry,n
katig,float of the outrigger,n
katigureya,category,n
katikismu,catechism,n
katitir,catheter,n
katsa,unbleached muslin cloth,n
katsir,1 catcher in baseball,n
katulika,Roman Catholic,n
katuliku,1 Roman Catholic religion,n
katulisismu,Catholicism,n
katursi,fourteen,n
kawang,futile,a
kawani,white collar employee,n
kawbuy,cowboy movie,n
kawu,handle for s,n
kawunsil,council,n
kaya,youngest child,n
kayankayan,1 tobacco tars,n
kaybuy,cowboy of the movies,n
kayril,watch chain,n
kibedu,eyeglasses,n
kikbak,money given as kickback,n
kelat,lightning,n
kelay,eyebrows,n
kelu,1 kilogram,n
kilumitru,kilometer,n
kimba,low cliff or gully,n
kimika,chemistry,n
kimiku,chemist,n
kimist,1 chemist,n
kindi,candy,n
king sayis,1 king-sized cigarettes,a
kinena,quinine,n
kinsi,fifteen,n
kintid,"short, for s",a
kintsay,variety of celery,n
kintuplits,quintuplets,n
kireda,"mistress, concubine",n
kisami,ceiling of a house,n
kislap,"gleam, sparkle",n
kesu,cheese,n
kitaipini,"detachable, removable",a
kitiw,clitoris,n
kitsap,ketchup,n
kiwaw,"awkward, esp",a
klab,"club, organization",n
klam,carpenter’s clamp,n
klara,egg white,n
klas,"showing class, classy",a
klasmit,1 classmate,n
klas rekurd,teacher’s grade book,n
klas ring,class ring in school,n
klats,clutch or clutch pedal,n
klema,1 climate,n
klinsing krim,cleansing cream,n
klirikal,clerical work,n
klirk,clerk,n
kliyinti,client,v
kliyintela,clientele,n
klis,"being close, intimate",a
kratsis,crutches,n
krem,cosmetic cream,n
krema,"cream-colored, cream-complexioned",a
kremin,crime,n
kren,mechanical crane,n
krep,crepe,n
kresis,dire scarcity of s,n
krismas,"1 Christmas season, day",n
kristal,"1 crystal, brilliant glass",n
kristiyanus,Christian person,n
kret,crate,n
kritikal,"critical, grave",a
kritiku,critic,n
kriyadu,household help,n
kridu,crude oil,n
krumyu,chromium,n
krinir,crooner,n
krus,1 cross,n
krusipehu,crucifix,n
krusipiksiyun,the crucifixion of Jesus,n
krus riha,1 Red Cross,n
kubiku,cubic meters,n
kubing,"tripletail, a k",n
kibir,1 cover,n
kubrikama,"bedspread, bed cover",n
kubus,low in amount,a
kubyirta,covered decks of ships,n
kubyirtus,silverware,n
kudak,camera,n
kudigu,1 code of laws,n
kughal,phlegm,n
kukakila,1 coca-cola,n
kuku,"1 fingernails, toenails",n
kiku,unbleached muslin,n
kikuks,euphemism for kulúkuy,n
kukwa,1 cocoa powder,n
kulaburetur,collaborator with the enemy,n
kulandir,colander,n
kilang,"lacking, deficient",a
kulat-ug,venereal disease,n
kulaykulay,double jointed,a
kuleik,"shrill, piercing shriek",n
kuliktur,1 bill collector,n
kuliplawir,cauliflower,n
kilir,cooler,n
kulira,1 cholera,n
kulirit,"euphemism for kulira, n2",n
kulesiw,"loud, piercing shriek",n
kuliseyum,coliseum,n
kulistirul,cholesterol,n
kultira,"culture, civilization",n
kulunya,colony,n
kulirum,1 unlicensed,a
kulyar,"animal collar, harness",n
kumandanti,"commandant, commanding officer",n
kumbat,army combat boots,n
kumbati,"fight, battle on land",n
kumbiksiyun,1 seriously considered opinion,n
kumbinsiyun,"convention, assembly",n
kumbintu,convent or rectory,n
kumbinyu,out-of-court settlement,n
kumbira n,"feast, sumptuous party",a
kumbirsiyun,conversion to a religion,n
kumbirtibul,convertible automobile,n
kumbu,"combo, instrumental ensemble",n
kumbulsiyun,convulsions,n
kumiks,comics,n
kumintarista,"newspaper, radio commentator",n
kumintaryu,"comment, observation on s",n
kumintetur,"radio, newspaper commentator",n
kumirsiyu,"1 commerce, business",n
kumirsyanti,businessman,n
kumeta,comet,n
kumpaneya,1 business establishment,n
kumpidinsiyal,confidential,n
kumpirinsiya,1 conference,n
kumpirma,"confirmation, a religious rite",n
kumpisyun,1 confession of guilt,n
kumpitinsiya,competition or competitor,n
kumpetis,confetti,n
kumpiyansa,confidence in s,n
kumplianyu,birthday,n
kumpletu,"complete, having s",a
kumplut,1 conspirator,n
kumprumesu,1 committal to s,n
kumpurtabli,comfortable,a
kumpisir,composer,n
kumpusisyun,1 a musical composition,n
kumpusitur disapatus,shoemaker,n
kumun,"1 common, ordinary",a
kumunal,for public use,n
kumunikasiyun,communication,n
kumunismu,communism,n
kumunista,communist,n
kumunwilt,commonwealth,n
kinay,= kunaykúnay,v
kundi,count,n
kundinsada,condensed milk,a
kunduktur,conductor in public transportation,n
kungking,vagina,n
kungrigasiyun,church congregation,n
kungresu,"congress, the national legislature",n
kunehu,1 rabbit,n
kuniksyun,"1 pull, connections",n
kunklusyun,"conclusion drawn, deduction",n
kunkretu,"concrete, cement",n
kunsehu,council,n
kunsilyu,council in the church,n
kunsinsiya,conscience,n
kunsiyirtu,concert,n
kunstabularya,Philippine Constabulary,n
kunstitusyun,constitution,n
kunstruksiyun,1 construction site,n
kunsul,consul,n
kunsulasiyun,town of Consolacion,n
kunsulisyun prayis,consolation prize,n
kunsimu,1 consumption,n
kuntadur,1 meter,n
kuntininti,continent,n
kuntintu,"satisfied, contented",a
kuntis n,"contest, competition",a
kuntrabandu,contraband,n
kuntraryu,being enemies,a
kuntrasinyas,password or secret signal,n
kuntribusiyun,1 financial contribution,n
kunya,wedge,n
kupidu,Cupid,n
kupeta n,small goblet,a
kupras,"copra, dried coconut meat",n
kupun ban,"coupon bond, a k",n
kupuy,"timid, shy, shrinking back",a
kupyur,"coiffure, hairdo",n
kurakul,1 snail,n
kural,"fence, enclosure",n
kurang,lesbian,n
kurba,curve,n
kurbata,1 necktie,n
kurd,cord for electrical appliances,n
kurdis,musical chords,n
kurdesu,1 window sill,n
kurdun,1 = kuldun,n
kurduruy,corduroy cloth,n
kurebut,"paramour, lover",n
kurispundinsiya,"correspondence, mail matter",n
kurispunsal,news correspondent,n
kurlir,hair curlers,n
kurpiyu,1 curfew,n
kurpus kristi,Corpus Christi,n
kursikan,polo shirt,n
kursunada,"1 guts, courage, drive",n
kurt,court for playing games,n
kurtena,curtain,n
kurtiseya,good manners,n
kurtu,"1 made short, low",a
kiru,1 choir,n
kurunasiyun,coronation,n
kurus,"1 cross, crucifix",n
kuryinti,1 electric current,n
kusahus,"1 jerked meat, esp",n
kusay,fast in doing s,a
kusena,kitchen,n
kusnut,"wrinkled, crumpled",a
kuspidur,cuspidor,n
kustum,1 customs bureau,n
kusturera n,seamstress,a
kusug,"1 fast, rapid",a
kutsi,"car, automobile",n
kutsilyu,table or kitchen knife,n
kutseru,"rig, coach driver",n
kutsitsa,"1 crop, harvest",n
kutsun,cushion,n
kutubkutub,"throbbing, low, booming sound",n
kuurdinadur,coordinator,n
kuurdinasiyun,coordination,n
kuuykuuy,"feeble, trembling with weakness",a
kuwing,guinea pig,n
kuyamad,newly-hatched head louse,n
kuyap,1 fainting spell,n
kuyaw,"1 frightful, dreadful",a
kwadirnu,soft-backed composition book,n
kwadra,stable or stall,n
kwadruplikit,quadruplicate,n
kwahu,1 anus of pigs,n
kwakir uts,quaker oats,n
kwaku,pipe for smoking,n
kwalipikasiyun,qualification,n
kwalisiyun,political coalition,n
kwanggul,lacking common sense,a
kwarinta,1 forty,n
kwayir,1 choir,n
kwetis,fireworks consisting of rockets,n
laaw,stray cat,n
laay,"1 monotonous, wearingly boring",a
labadira,batter,n
labaha,straight razor,n
labanus,radishes,n
lab-as,1 for s,a
labat,1 fence,n
labateba,1 enema,n
labhak,"rectangular piece, area",n
labi,"more, greater",a
labing,like sweethearts,a
labsik,lovesick,a
labud,1 welt,n
labur,embroidery,n
laburaturyu,laboratory,n
labut,= lubut,n
lagdas,"careless, not giving s",a
lagduk,1 a small stake,n
laghay,for s,a
lagingling,soft tinkling sound,n
lag-it,1 rough and sharp,a
lagnak,"loose, sagging",a
lagudlagud,ovary of a sow,n
lagum,"dirtyish white, greyish",a
lagina n,meadow,a
lagunit,"screeching, ripping sound",n
lagwis,tall and slender,a
lahang,crack in between s,n
lain,"1 different, another",a
lak,"lock, latch",n
lakbang,"step, procedure",n
lakit,locket,n
laksanti n,laxative,a
lakwig,tall and lanky,a
lalau,muddy water,n
lalim,1 pleasurable,a
lambuyud,feeling dizzy,a
lamdag,bright,a
lamina,"framed picture, esp",n
lamiseta,small table or desk,n
lamiti,smeared with s,a
lampin,diaper,n
lampengas,indifference to how s,n
lampenig,yellow jacket,n
lamugdung,"overcast, gloomy",a
lamuglamug,slimy substance,n
lamuk,mosquito,n
lamuruk,plump in the cheeks,a
lanag,"mild, not fatal poisoning",n
lanang,"watery, slushy ground",n
landasan,anvil,n
landing,"airfield, airport",n
landung,"1 image, replica",n
langas,1 noisy,a
langaw,housefly,n
langay,wasteful of time,a
langgis,"high-pitched, screeching noise",a
langgeti,anvil,n
lan-grabir,landgrabber,n
lansa,launch,n
lansadera,1 shuttle in weaving,n
lansang,1 nail,n
lansaru,leprosy,n
lanseta,small launch,n
lanslayid,landslide,n
lantayug,growing very tall,a
lantip,1 sharp of blade,a
lanug,"loud, resonant",a
lanulin,lanolin,n
lapad,"1 flat, level surface",a
lap-ak,"splotch, splatter",n
lapida,tombstone,n
lapris,rabbet plane,n
lapsaw,"watery, diluted in taste",a
lapta,splotchy,a
lapuk,1 mud,n
lapyat,1 fat and flabby,a
largabista,binoculars,n
larenu,speaking clearly and fluently,a
las-ag,"puddle, esp",n
lasak,money contained in s,n
lasang,"1 forest, jungle",n
las-ay,lacking flavor,a
lasing,drunk,a
lastiku,1 rubber band,n
lasu,"1 ribbon, bow",n
lata,1 tin can,n
latak,standing out clear,a
latigu,1 whip,n
latin,1 Latin,n
laug,1 liking s,a
lauy,lacking sleep,a
lawilawi,variety of croton,n
lawud,deep open sea,n
lawus,1 withered,a
laybrari,library,n
layiku,"layman, laity",n
layip,life imprisonment,n
layit wit,lightweight boxer or wrestler,n
laysul,lysol,n
layti,Leyte,n
laytir,cigarette lighter,n
layug,tall and quite straight,a
leab,neckline of garment,n
libadira,leaven,n
libat,cross-eyed,a
libaung,potholes in a road,n
libelu,libel,n
libintadur,firecrackers,n
librireya,library,n
libru,1 book,n
libutug,"small bulge, swelling",n
ligal,"legal, within the law",a
ligay,swollen lymph node,n
ligdung,1 upright,a
lig-un,"1 strong, sturdy, durable",a
lihisladur,legislator,n
lihislatebu,legislative,n
lihislatira,legislature,n
likidu,"liquid, not solid",n
liksiyun,1 lesson in school,n
liktyur,1 lecture,n
likut,slit-eyed,a
lela,violet,a
limba,= limbalimba,v
limiti,limit,n
limus,1 alms,n
lingganay,1 church bell,n
lingguwahi,language,n
lingguwista,linguist,n
linghud,1 immature plants,a
lengin,"round, circular",a
lingkung,for s,a
ling-un,1 a small area,n
linimintu,liniment,n
lenin,1 linen cloth,n
linti,"1 lens, magnifying glass",n
lenug,earthquake,n
linulyum,linoleum,n
lipak,bamboo slats,n
lepak,loud thunderclap,n
liphuk,left hook in boxing,n
lipstik,lipstick,n
lerung,"circular, rounded",a
lisay,lymph node,n
lesis,shoelace,n
lisud,1 difficult,a
lisun plan,lesson plan for schools,n
liswi,1 = habasan,n
let,"late, not on time",a
litaneya,1 litany,n
litiliti,for s,a
litiral,literal,a
litiratira,1 literature,n
litra,letter of the alphabet,n
litru,1 liter,n
liwat,taking after,a
liyaleya,rocking chair,n
leyug,for s,a
libas,1 heartwood of timber,n
lubut,"1 anus, rump",n
lugan-ub,"thundering, reverberating sound",n
lugas,1 grain,n
lugatub,"deep, loud, hollow sound",n
liging,"logging company, industry",n
lugpad,1 = lupad,v
lugut,"1 thicket, woods",n
luhag,"not still, restless",a
lukal,local,n
lukay,coconut palm leaves,n
luking,knock-kneed,a
luktun,young of a locust,n
liku,stupid in action,a
lulipap,lollipop,n
lilut,tender eyes or looks,a
liluy,"sleepy, dull eyes",a
lumban,"turban shells, k",n
lum-it,"crease, wrinkle",n
lumu,"tender, gentle in personality",a
lina,canvas,n
lina dimiyil,honeymoon,n
lungay,"1 drooping, hanging loosely",a
lungdistans,1 long-distance call,n
lungkaub,thumping sound,n
lunglayin,longline fishing,n
lungnik,fifth of liquor,n
lungnus,long-nosed pliers,n
lungpli,1 long-playing record,n
lungslib,long-sleeved shirt,n
lungsud,1 town,n
lungun,coffin,n
lunsay,"1 pure, unadulterated",a
lipig,"inferior, outclassed",a
lipir,sport jacket,n
lipuk,young locust,n
lupuy,the fry of andúhaw,n
lusay,swollen lymph node,n
lutareya,1 lottery,n
lutay,for s,a
luud,"nauseous, causing nausea",a
luug,"1 savage, uncivilized",a
lyukimya,leukemia,n
maas,"old, aged",a
mabaw,1 shallow,a
mabdus,1 pregnant,a
madil,fashion model,n
madrasta,stepmother,n
madyurit,drum majorette,n
magnisya,milk of magnesia,n
magnit,1 magnet,n
magu,1 magi,n
mahika,magic,n
mahistradu,judge,n
mahugani,mahogany,n
maistra,1 female teacher,n
maistru,"1, 1a = maistra",n
makan,"1 macan, k",n
makarini,macaroni,n
makaw,1 Chinaman from Macao,n
makina,1 machine,n
makinilya,1 typewriter,n
makinista,"engine man, machine operator",n
mala,"1 dry, not wet",a
mal-am,1 old in age,a
malarya,malaria,n
malatinduk,"mackerel scad, k",n
malayu,Malay in race,n
maldisiyun,"malediction, a curse",n
maldetu,"1 naughty, evil",a
mal-idukadu,"ill-educated, ill-mannered",a
malisya,1 awareness of sex,n
malit,mallet,n
maleta,suitcase,n
malyeti,gavel,n
mamadur,breast pump,n
mamay,1 wet nurse,n
mananangkuy,folk doctor,n
mananap,"animal, beast, insect",n
manandis,henpecked husband,a
mananggeti,toddy gatherer,n
mananuy,"sweet-sounding, melodious",a
mandaliyung n,"district in Rizal, Luzon",a
mandunggu,beef tripes,n
manggas,"1 sleeve, cuff",n
manggustan,mangosteen,n
manghud,"younger brother, sister",n
mangkay,old maid,n
mangtas,"1 cruel, fierce beast",n
mangyan,non-Christian natives of Mindoro,n
mani,peanuts,n
manikin,mannequin,n
manikiyur,nail polish,n
manineyut,photographer,n
mankumunidad,commonwealth,n
mansa,1 stain,n
mansanas,apple,n
mansibadu,common-law couple,n
mansiyun,mansion,n
manteka dikakaw,cocoa butter,n
mantikilya,butter or margarine,n
mantil,tablecloth,n
mantiw,tall and lanky,a
mantsisu,easily soiled or stained,a
manuk,1 chicken,n
manukilu,monocle,n
manwal,"manual, handbook",n
marakas,maracas,n
maranaw,Lanao Muslims,n
maratun,1 marathon race,n
marihwana,marijuana,n
marik,pickax,n
markis,marquis,n
marmul,marble,n
marpil,false teeth,n
marsiyal,"marshall, a military commander",n
marsu,March,n
martilyu,hammer,n
martir,1 martyr,n
martis,Tuesday,n
masimasi,"mashi-mashi, a k",n
masinggan,1 machine gun,n
maskirid bul,masquerade ball,n
masu,sledge hammer,n
masun,freemason,n
masyaw,yellow corn,n
mat,mat for gymnastics,n
matadur,"1 = matadíru1, 2",n
matimatiks,mathematics,n
matirniti,1 maternity clinic,n
matiryalis,materials used for constructing,n
matrikula,school fees,n
matrimunyal,double bed,n
matun,"ruffian, tough guy",n
maung,blue denim,n
mawutpis,1 boxer’s mouthpiece,n
maw-uy,"arousing pity, touching",a
mayaman,"rich, moneyed",a
mayik,1 microphone,n
maynur,one’s minor subject,n
mayrun,having money,a
maytir,miter joint,n
mayukmuk,1 powdery soil,n
mayuskula,majuscule,n
med n,female household help,a
medal,medal,n
midalya,1 medal,n
midalyun,medallion,n
medi,midi skirt,n
midiku,"physician, doctor",n
midisin,course of medicine,n
midisena,1 medicine,n
midiyas,"1 socks, stockings",n
midtik,1 Medical Technology course,n
midtirm,mid-term exams,n
midwayip,1 trained midwife,n
mihiras,1 improvements,n
mikanikal,course of mechanic engineering,n
mikaniku,mechanic,n
mikrubyu,microbes,n
mikru krim,mercurochrome,n
mikrupunu,microphone,n
mikruskupyu,microscope,n
mil,thousand,n
milagru,1 miracle,n
milbaks,mailbox,n
miligramu,milligram,n
milimitru,millimeter,n
militar,"the military, soldiers",n
milyun,million,n
mimbru,member,n
mindanaw,Mindanao,n
mengaw,"1 lonely, deserted",a
minindyaytis,meningitis,n
minirba,hand-fed printing press,n
mineru,miner,n
miniskirt,"miniskirt, k",n
ministiryu,divine or religious ministration,n
mens,menstruation,n
mintal,mental hospital,n
mintiryu,cemetery,n
mintul,mentholated candy,n
minidu,sold in small quantities,a
min-ipis,main office,n
minur diidad,minor in age,n
minureya,minority,n
minuskula,lower case letters,n
minitu,minute,n
